document_control_number,total_release,medium
1314212321804,0,air
1320218952897,255,air
1323222379289,11815,air
1323222215737,0,air
1324222899559,1826,air
1314212772800,0,air
1324223120674,10,air
1322221135041,100,air
1314213103385,51,air
1314212748267,1633,air
1315214355873,18105,air
1323221621485,0,air
1321219898374,11,air
1316215181049,2540,air
1319217965666,0,air
1321219707003,0,air
1315213658913,0,air
1314212852899,0,air
1315214331415,562,air
1315214372359,0,air
1316215728433,3958,air
1323221790886,0,air
1323222387058,1036,air
1322221194398,0,air
1319217961604,1415,air
1315213901440,1,air
1314212876890,20960,air
1316215161744,9105,air
1316215101801,0,air
1317216376614,27142,air
1315213925910,560,air
1324223089044,0,air
1314213056777,157,air
1324222914867,0,air
1321219680636,0,air
1323221611294,149,air
1315214202398,7633,air
1318217123393,140,air
1320219428923,0,air
1321219618865,1674,air
1318216822015,15694,air
1321220319533,0,air
1314212793602,2511,air
1317216419212,0,air
1318216854202,8,air
1314212887210,5,air
1319217956768,0,air
1322220763039,0,air
1320218731608,0,air
1316215536309,187,air
1321219969577,0,air
1320220640039,0,air
1319217972619,4850,air
1316215763347,0,air
1314212430464,6895,air
1318217324603,990,air
1315213666961,162,air
1314212920829,61,air
1315213965445,2,air
1321219698382,0,air
1314212942799,0,air
1319217764721,31007,air
1316215216476,28541,air
1315214273512,820,air
1321219744582,206,air
1316217858885,7,air
1314212402248,693,air
1314212344966,0,air
1318217150869,288,air
1322221265782,0,air
1324222616563,0,air
1314212841478,0,air
1321219614296,255,air
1321219755408,524,air
1323222090298,4,air
1314212997009,500,air
1323221835440,10,air
1320218768188,0,air
1322221253420,6,air
1317216559068,14,air
1320219256435,207,air
1319218146330,0,air
1319218352995,0,air
1314213031432,1755,air
1314212509739,0,air
1321220593964,0,air
1315214409993,500,air
1315213701079,6604,air
1314212977351,0,air
1317215816632,335,air
1320219179544,5,air
1324223131943,37406,air
1318219424874,0,air
1323221713439,0,air
1314212405260,2,air
1316215477338,1,air
1319218368393,664300,air
1323221663457,0,air
1314212777647,116928,air
1320218860789,10566,air
1324222758880,19960,air
1324222918195,0,air
1314212959961,1838,air
1318217452655,10749,air
1323221870076,40,air
1324222554507,0,air
1323221538224,111,air
1324222776763,0,air
1315214025470,4649,air
1315214493278,18495,air
1322220980231,12935,air
1320218814010,173,air
1316215585997,0,air
1320219054234,25,air
1314212770681,0,air
1314212887071,5448,air
1323222063909,6979,air
1316215364668,447913,air
1314213136765,21780,air
1316215023514,605,air
1317215944149,0,air
1314213106622,1168,air
1315214456067,12,air
1317216060590,32,air
1314212402251,15,air
1315213573811,0,air
1316215596711,0,air
1319218184873,500,air
1322220736351,0,air
1320218865778,239,air
1317216069827,326,air
1314213144847,4308,air
1315213211612,10,air
