president_name,term_start,term_end,party
Bill Clinton,1993,2000,Democrat
George W. Bush,2001,2008,Republican
Barack Obama,2009,2016,Democrat
Donald Trump,2017,2020,Republican
Joe Biden,2021,2024,Democrat
Donald Trump,2025,2029,Republican
