document_control_number,source_reduction_activity_code,estimated_annual_reduction_code,activity_number
1317216284772,W50,R3,1
1321220139568,S23,R5,1
1322221144746,S41,R6,1
1316215798529,W58,R6,1
1315214007231,W13,R5,1
1315213207261,W64,R6,1
1314211909724,W49,R3,1
1316215277474,W13,R6,1
1321220650776,S41,R6,1
1324222712224,S21,R6,1
1321219708183,S01,R5,1
1321219720556,S21,R6,1
1314213022179,W58,R3,1
1315213968112,W19,R6,1
1316215161098,W81,R4,1
1321219944485,S41,R6,1
1314212734747,W52,R3,1
1314212963425,W58,R2,1
1314212804518,W32,R6,1
1324222598157,S41,R6,1
1324222638278,S42,R6,1
1324222448654,S25,R6,1
1316215102498,W14,R6,1
1315213896145,W13,R6,1
1319218496178,W13,R6,1
1315214215232,W29,R6,1
1320219185699,W19,R6,1
1314212350300,W39,R5,1
1321219828466,S02,R4,1
1314212365795,W56,R3,1
1324223063761,S21,R6,1
1315213806007,W89,R6,1
1315214144139,W13,R2,1
1315214157036,W74,R6,1
1315214381384,W32,R6,1
1319218213039,W19,R6,1
1315214295836,W71,R5,1
1317216583613,W58,R2,1
1314212573683,W42,R5,1
1315214157024,W19,R6,1
1316216293682,W14,R4,1
1317216335176,W14,R5,1
1324222800361,S24,R2,1
1322221293487,S25,R4,1
1321219705480,S24,R6,1
1322221036585,S05,R5,1
1316215132198,W58,R6,1
1322221475559,S24,R6,1
1319218515359,W19,R5,1
1323221569458,S11,R6,1
1319217987407,W66,R5,1
1317216255152,W50,R6,1
1321220310977,S04,R2,1
1323222021469,S34,R6,1
1314212388185,W43,R3,1
1322220982173,S33,R5,1
1323221684739,S11,R5,1
1320219118344,W36,R4,1
1319218045387,W50,R6,1
1323221590033,S44,R6,1
1323221774019,S12,R3,1
1323221966930,S41,R3,1
1324223005467,S21,R6,1
1318218613750,W82,R3,1
1321219775968,S44,R6,1
1321221489370,S35,R5,1
1315213975067,W41,R2,1
1318217044799,W14,R6,1
1316215128745,W24,R6,1
1316215573712,W39,R6,1
1318217398458,W52,R5,1
1316215619800,W58,R6,1
1319218156293,W13,R6,1
1323221894443,S21,R5,1
1321219625377,S44,R6,1
1314213077148,W29,R5,1
1318216994398,W49,R2,1
1317216547238,W19,R6,1
1318217057823,W19,R6,1
1314212786343,W52,R4,1
1315213901453,W29,R5,1
1316215238243,W58,R2,1
1315214376105,W14,R5,1
1316215089436,W68,R6,1
1314212501023,W13,R4,1
1314212321804,W13,R6,1
1320218952897,W50,R6,1
1323222379289,S44,R2,1
1323222215737,S04,R2,1
1324222899559,S21,R5,1
1314212772800,W83,R6,1
1324223120674,S21,R6,1
1322221135041,S03,R5,1
1314213103385,W52,R2,1
1314212748267,W13,R6,1
1315214355873,W42,R2,1
1323221621485,S44,R6,1
1321219898374,S23,R6,1
1316215181049,W71,R4,1
1319217965666,W29,R4,1
1321219707003,S05,R5,1
1315213658913,W52,R5,1
1314212852899,W42,R2,1
1315214331415,W13,R6,1
1315214372359,W39,R6,1
1316215728433,W58,R5,1
1323221790886,S25,R6,1
1323222387058,S34,R6,1
1322221194398,S11,R2,1
1319217961604,W58,R2,1
1315213901440,W52,R5,1
1314212876890,W13,R6,1
1316215161744,W89,R6,1
1316215101801,W61,R1,1
1317216376614,W19,R6,1
1315213925910,W19,R6,1
1324223089044,S04,R2,1
1314213056777,W32,R3,1
1324222914867,S05,R2,1
1321219680636,S06,R6,1
1323221611294,S21,R6,1
1315214202398,W56,R4,1
1318217123393,W58,R6,1
1320219428923,W82,R2,1
1321219618865,S42,R6,1
1318216822015,W42,R3,1
1321220319533,S33,R6,1
1314212793602,W36,R5,1
1317216419212,W15,R6,1
1318216854202,W81,R5,1
1314212887210,W14,R4,1
1319217956768,W14,R6,1
1322220763039,S44,R6,1
1320218731608,W58,R6,1
1316215536309,W50,R4,1
1321219969577,S21,R4,1
1320220640039,W58,R6,1
1319217972619,W58,R6,1
1316215763347,W13,R6,1
1314212430464,W19,R2,1
1318217324603,W13,R6,1
1315213666961,W49,R5,1
1314212920829,W35,R5,1
1315213965445,W49,R3,1
1321219698382,S41,R6,1
1314212942799,W82,R1,1
1319217764721,W41,R5,1
1316215216476,W19,R6,1
1315214273512,W36,R6,1
1321219744582,S34,R6,1
1316217858885,W58,R5,1
1314212402248,W52,R6,1
1314212344966,W58,R3,1
1318217150869,W42,R3,1
1322221265782,S23,R5,1
1324222616563,S44,R6,1
1314212841478,W58,R2,1
1321219614296,S06,R2,1
1321219755408,S34,R6,1
1323222090298,S25,R6,1
1314212997009,W14,R3,1
1323221835440,S41,R6,1
1320218768188,W53,R1,1
1322221253420,S44,R3,1
1317216559068,W58,R2,1
1320219256435,W29,R6,1
1319218146330,W49,R2,1
1319218352995,W19,R6,1
1314213031432,W52,R6,1
1314212509739,W42,R6,1
1321220593964,S11,R5,1
1315214409993,W66,R6,1
1315213701079,W58,R6,1
1314212977351,W13,R6,1
1317215816632,W13,R6,1
1320219179544,W19,R4,1
1324223131943,S24,R5,1
1318219424874,W58,R6,1
1323221713439,S44,R5,1
1314212405260,W42,R4,1
1316215477338,W82,R4,1
1319218368393,W13,R6,1
1323221663457,S12,R6,1
1314212777647,W39,R6,1
1320218860789,W42,R5,1
1324222758880,S24,R2,1
1324222918195,S25,R6,1
1314212959961,W14,R6,1
1318217452655,W36,R6,1
1323221870076,S24,R6,1
1324222554507,S06,R5,1
1323221538224,S06,R5,1
1324222776763,S25,R1,1
1315214025470,W39,R6,1
1315214493278,W56,R1,1
1322220980231,S21,R5,1
1320218814010,W13,R6,1
1316215585997,W58,R2,1
1320219054234,W19,R5,1
1314212770681,W13,R2,1
1314212887071,W13,R1,1
1323222063909,S25,R6,1
1316215364668,W50,R6,1
1314213136765,W73,R6,1
1316215023514,W32,R4,1
1317215944149,W58,R6,1
1314213106622,W33,R6,1
1315214456067,W14,R6,1
1317216060590,W74,R5,1
1314212402251,W58,R6,1
1315213573811,W49,R2,1
1316215596711,W13,R6,1
1319218184873,W19,R4,1
1322220736351,S41,R6,1
1320218865778,W19,R6,1
1317216069827,W14,R6,1
1314213144847,W32,R6,1
1315213211612,W42,R5,1
1323222247304,S22,R6,1
1324222944187,S31,R2,1
1320218746384,W71,R5,1
1320218997839,W49,R1,1
1319218044687,W13,R6,1
1322220646588,S21,R6,1
1324222911935,S44,R4,1
1321220140863,S44,R6,1
1314213152717,W13,R6,1
1323221730411,S22,R6,1
1320219297177,W59,R5,1
1321220161501,S06,R3,1
1319217852336,W19,R6,1
1318216949952,W52,R4,1
1317216222188,W41,R5,1
1315214272698,W13,R6,1
1318216911154,W65,R6,1
1318217385018,W71,R5,1
1315214185720,W39,R5,1
1319217684962,W36,R5,1
1324222800474,S02,R2,1
1320218983880,W58,R6,1
1322220823759,S44,R6,1
1322221112321,S06,R2,1
1315214452866,W58,R4,1
1315213624327,W49,R6,1
1317216607578,W13,R6,1
1323221663444,S24,R6,1
1314213044100,W25,R6,1
1316216650820,W72,R5,1
1323221769969,S04,R3,1
1315213694983,W21,R4,1
1324222629394,S22,R3,1
1323221532474,S21,R6,1
1316214936270,W22,R6,1
1318217547393,W49,R6,1
1314212908988,W13,R6,1
1323221539911,S41,R6,1
1318216764720,W36,R6,1
1314212460582,W13,R3,1
1324222602447,S06,R6,1
1321219716356,S35,R6,1
1323221642756,S04,R2,1
1323223208745,S41,R6,1
1323221735107,S24,R6,1
1314212792749,W13,R6,1
1321220222335,S35,R5,1
1324222452409,S21,R6,1
1324222711893,S21,R6,1
1318216859025,W42,R2,1
1319217761396,W13,R6,1
1315213625712,W89,R5,1
1317216234284,W58,R2,1
1319217629637,W29,R1,1
1322221025339,S24,R6,1
1316215205408,W13,R6,1
1322220663850,S25,R5,1
1324222559736,S24,R2,1
1320219075710,W29,R6,1
1315213847876,W58,R6,1
1320219191400,W36,R5,1
1324222848576,S31,R6,1
1316215205497,W13,R6,1
1321220296228,S04,R2,1
1316215004755,W78,R5,1
1319218131581,W19,R5,1
1319218034318,W14,R6,1
1317216368264,W89,R3,1
1315213536218,W68,R6,1
1318216960260,W82,R6,1
1315215788694,W14,R6,1
1318218605564,W58,R2,1
1321219778558,S21,R4,1
1317216051779,W58,R3,1
1314212631143,W19,R6,1
1324222650943,S24,R6,1
1324222665349,S21,R6,1
1314212503231,W32,R4,1
1320218742942,W89,R1,1
1323222404586,S41,R6,1
1322221043452,S21,R4,1
1319218588667,W58,R6,1
1323222275671,S06,R6,1
1316215701297,W32,R6,1
1314212555989,W15,R6,1
1314213065170,W58,R2,1
1315218523532,W15,R6,1
1324222461295,S22,R2,1
1315214223467,W52,R6,1
1322220764827,S44,R6,1
1323222077289,S23,R4,1
1323222309914,S24,R4,1
1316215458314,W58,R1,1
1314212753242,W42,R3,1
1324223159753,S03,R5,1
1314212996262,W19,R6,1
1315213758004,W50,R5,1
1322220667289,S44,R6,1
1315214349173,W15,R6,1
1317216306934,W35,R3,1
1317216243131,W19,R5,1
1314213046028,W58,R6,1
1315213645411,W13,R5,1
1323221572199,S34,R6,1
1314213240524,W19,R3,1
1324222750945,S04,R3,1
1314212442925,W14,R4,1
1314212777736,W58,R3,1
1316215137985,W19,R3,1
1315213753179,W19,R2,1
1316215052794,W65,R6,1
