document_control_number,source_reduction_activity_code,estimated_annual_reduction_code,activity_number
1316215694807,W19,R6,1
1320219099239,W19,R6,1
1317216135564,W52,R6,1
1323222135170,S21,R6,1
1316215045396,W89,R2,1
1315214343980,W81,R5,1
1322220693295,S06,R3,1
1318216834705,W64,R2,1
1322220988048,S25,R1,1
1319218289332,W61,R3,1
1323222343372,S23,R6,1
1318217164209,W58,R6,1
1321219867013,S03,R6,1
1314213126067,W13,R6,1
1322220776595,S44,R6,1
1323222271886,S21,R6,1
1323222084915,S03,R6,1
1322221228632,S03,R2,1
1315214181671,W42,R3,1
1319218480717,W81,R6,1
1315213223439,W13,R6,1
1324222527208,S25,R5,1
1315214191405,W49,R5,1
1316214986768,W52,R2,1
1320219026438,W13,R6,1
1316214979332,W58,R2,1
1314211936125,W73,R6,1
1318217195534,W56,R3,1
1314212390470,W19,R5,1
1315214324713,W56,R3,1
1322220700379,S42,R2,1
1323221913852,S25,R5,1
1316215666049,W14,R6,1
1314212792752,W19,R6,1
1320218616276,W29,R3,1
1320218684645,W19,R6,1
1315213968795,W13,R5,1
1314212389706,W58,R3,1
1320218819631,W43,R2,1
1314212665436,W58,R4,1
1314212872737,W13,R6,1
1321219468889,S21,R5,1
1316215057973,W14,R2,1
1316215697828,W13,R6,1
1314212937940,W21,R5,1
1318217087004,W72,R3,1
1318216788606,W19,R5,1
1323221611344,S21,R6,1
1315218623256,W15,R5,1
1323221548504,S03,R6,1
1323222395396,S02,R5,1
1315213984267,W36,R6,1
1317216097788,W50,R6,1
1319218494577,W15,R4,1
1321219776123,S23,R3,1
1321219468636,S21,R5,1
1319218334009,W58,R6,1
1324223229485,S21,R6,1
1315214339222,W13,R6,1
1321220142196,S34,R6,1
1314212887083,W13,R4,1
1314212566463,W19,R6,1
1314212893010,W25,R5,1
1320218857377,W13,R5,1
1321220303705,S03,R1,1
1315214240400,W52,R6,1
1320218922538,W19,R6,1
1324223196231,S33,R5,1
1322220955518,S13,R6,1
1317216045625,W14,R5,1
1315213794783,W42,R2,1
1323222149092,S03,R2,1
1324222553240,S03,R6,1
1323221616093,S21,R5,1
1324223181482,S11,R6,1
1316215080894,W19,R4,1
1319218069488,W19,R5,1
1317216538153,W42,R6,1
1314212713061,W15,R6,1
1320219054362,W49,R6,1
1314216076190,W13,R5,1
1314212500401,W19,R4,1
1322220885115,S21,R2,1
1323221611357,S21,R5,1
1314212908952,W64,R6,1
1314212501163,W59,R4,1
1315213550318,W42,R2,1
1320219404086,W19,R3,1
1315214198576,W53,R3,1
1320219031186,W58,R2,1
1317215816707,W13,R6,1
1317215880612,W50,R6,1
1321220188054,S23,R6,1
1324222550360,S42,R6,1
1321219631645,S24,R6,1
1322221249117,S06,R6,1
1314212925224,W68,R6,1
1322221065675,S21,R6,1
1314212959821,W19,R5,1
1319218556619,W14,R6,1
1316215087913,W19,R6,1
1317217774823,W58,R5,1
1322222299772,S24,R6,1
1321220222347,S35,R5,1
1317216245201,W32,R5,1
1316215676115,W71,R6,1
1322220927368,S41,R6,1
1315214460368,W58,R6,1
1324222407064,S35,R5,1
1314212653063,W14,R6,1
1315214125650,W13,R6,1
1320219274899,W42,R6,1
1314211917570,W41,R3,1
1314213076654,W50,R6,1
1324222407102,S06,R4,1
1315213926823,W78,R6,1
1315213738800,W81,R6,1
1314212461521,W19,R1,1
1316215184060,W52,R2,1
1320219026440,W13,R6,1
1316215364629,W19,R6,1
1317216484129,W13,R6,1
1315213935277,W29,R6,1
1321219704552,S06,R6,1
1324222468605,S21,R6,1
1321219758315,S21,R6,1
1315213896121,W13,R6,1
1320218865739,W19,R6,1
1321220323986,S02,R4,1
1316215039280,W19,R6,1
1315213890270,W14,R6,1
1317216464394,W19,R5,1
1321219892039,S22,R6,1
1318217457845,W13,R5,1
1315214121699,W42,R5,1
1314212953968,W39,R6,1
1318217053937,W56,R5,1
1322221375761,S32,R6,1
1320220606851,W13,R6,1
1320218962696,W56,R2,1
1322221465697,S31,R2,1
1321221489382,S34,R5,1
1321221320827,S33,R3,1
1320218873305,W13,R6,1
1316215180757,W39,R6,1
1323221573734,S06,R2,1
1323222012852,S14,R2,1
1323222343360,S23,R6,1
1315214193082,W58,R6,1
1315213645260,W13,R6,1
1314213237617,W13,R6,1
1322220782775,S06,R4,1
1320219342870,W19,R6,1
1318216834717,W64,R2,1
1317216563914,W13,R6,1
1318217323171,W53,R2,1
1314213027535,W32,R2,1
1323221663572,S12,R6,1
1317216057632,W13,R6,1
1323221674409,S04,R1,1
1316215052806,W65,R6,1
1315213977972,W19,R6,1
1317216391060,W89,R3,1
1316215342801,W74,R6,1
1314212594877,W42,R5,1
1316215052782,W65,R6,1
1314212460808,W52,R5,1
1314211941479,W13,R3,1
1317216592434,W52,R6,1
1315214464810,W21,R6,1
1316214897011,W53,R6,1
1321220308946,S24,R6,1
1323221815970,S11,R2,1
1321220371999,S24,R6,1
1320219395480,W41,R4,1
1316215673132,W19,R6,1
1321219729910,S35,R6,1
1316215390244,W14,R5,1
1322220836466,S44,R6,1
1323221835681,S11,R1,1
1317216433781,W51,R6,1
1319218252839,W66,R3,1
1324222583256,S21,R6,1
1320219185701,W19,R6,1
1317216015798,W42,R2,1
1324222607121,S25,R6,1
1321220001123,S44,R3,1
1315213770148,W42,R2,1
1321220313845,S11,R6,1
1322221059963,S25,R5,1
1323221648090,S03,R1,1
1323221660018,S03,R6,1
1317216589782,W42,R5,1
1315214386866,W14,R4,1
1321219622103,S05,R2,1
1317215844438,W19,R4,1
1320218605588,W21,R6,1
1320221534427,W56,R6,1
1316215205459,W13,R6,1
1316215384583,W15,R6,1
1315213922014,W58,R5,1
1318217217417,W50,R6,1
1317215814272,W89,R6,1
1316215162850,W19,R6,1
1317216604975,W58,R6,1
1317215895259,W42,R6,1
1322220726184,S42,R3,1
1314212478200,W42,R6,1
1323221648456,S03,R2,1
1318217335088,W42,R2,1
1321219961822,S24,R5,1
1319217963065,W19,R6,1
1316215640653,W14,R6,1
1316215289683,W13,R5,1
1318217149196,W51,R6,1
1315214344234,W19,R2,1
1314212690453,W42,R5,1
1321219821004,S44,R6,1
1321220238048,S41,R6,1
1315213611369,W36,R6,1
1319218145175,W36,R5,1
1320218777656,W74,R5,1
1316215690189,W14,R5,1
1315213231160,W42,R6,1
1314212992592,W19,R2,1
1319218560009,W51,R2,1
1314212419372,W57,R3,1
1323221755236,S14,R5,1
1315213959442,W32,R4,1
1323221532500,S14,R5,1
1323221700127,S21,R5,1
1324222519377,S06,R6,1
1318217403486,W19,R2,1
1319217961390,W50,R5,1
1317216100800,W13,R6,1
1314214503118,W19,R5,1
1315214311209,W42,R6,1
1317216432462,W67,R3,1
1314212927420,W52,R5,1
1314212956674,W19,R5,1
1322220756872,S06,R1,1
1315213751720,W49,R6,1
1323221637782,S21,R6,1
1320218944256,W42,R4,1
1320218775258,W19,R4,1
1315214356661,W51,R2,1
1315214185492,W13,R6,1
1317218606945,W13,R6,1
1319217821368,W67,R6,1
1315214191898,W21,R6,1
1320219174733,W71,R4,1
1315213966169,W84,R4,1
1316215298112,W89,R6,1
1314212684664,W13,R6,1
1315213213958,W71,R5,1
1315213729926,W67,R4,1
1321219697796,S21,R6,1
1321220146221,S35,R6,1
1324222759096,S21,R6,1
1321219890377,S06,R5,1
1316215306919,W19,R3,1
1323221549470,S21,R4,1
1323222047944,S21,R6,1
1323221706373,S25,R2,1
1324222735072,S41,R6,1
1324222539013,S44,R6,1
1321220007203,S35,R6,1
1320219305277,W58,R2,1
1315213690480,W50,R5,1
1315213737947,W49,R5,1
1318216912648,W58,R2,1
1314212556005,W15,R6,1
1315214196204,W13,R6,1
1318217541782,W13,R6,1
1317216114797,W14,R5,1
1315214390902,W51,R3,1
1322220974149,S06,R3,1
1317218637650,W68,R6,1
1316215644333,W19,R6,1
1320218814008,W13,R6,1
1317215908928,W58,R2,1
1315214245906,W39,R6,1
1314212393058,W42,R1,1
1321219693379,S11,R4,1
1320218977080,W89,R1,1
1324222774655,S24,R6,1
1322222388946,S25,R2,1
1321219933280,S41,R6,1
1315214087660,W42,R6,1
1321219792811,S25,R2,1
1317216603050,W21,R5,1
1315214163192,W82,R5,1
1322221298831,S44,R6,1
1314212385189,W42,R4,1
1324222762700,S21,R6,1
1314212989634,W52,R3,1
1320219034345,W19,R6,1
1315213637667,W13,R5,1
1316217492988,W58,R5,1
1317216508554,W61,R5,1
1322221205800,S04,R1,1
1314212404343,W13,R4,1
1321219667464,S41,R6,1
1314212401537,W81,R2,1
1320219434141,W19,R6,1
1314212926998,W50,R2,1
1320219239023,W42,R1,1
1316215519113,W52,R3,1
1314212704858,W82,R5,1
1322221007610,S21,R4,1
1315214024162,W61,R2,1
1314212551143,W51,R5,1
1319217615362,W84,R5,1
1316215365863,W13,R6,1
1315214412443,W49,R2,1
1323222067656,S04,R1,1
1319218465856,W50,R2,1
1317216135590,W50,R6,1
1314212302917,W74,R6,1
1317216402610,W13,R6,1
1320218585418,W32,R2,1
1319218352223,W41,R4,1
1322220921706,S01,R4,1
1316215132135,W19,R5,1
1316215136223,W13,R6,1
1318216757056,W58,R5,1
1319218147561,W50,R6,1
1319219434242,W58,R2,1
1315213576186,W82,R6,1
1324222987669,S24,R6,1
1323221784111,S24,R5,1
1316215437132,W84,R2,1
1318217338072,W52,R5,1
1317215959331,W58,R5,1
1320218973257,W19,R5,1
1319217799194,W21,R5,1
1320218766222,W58,R6,1
1323221646399,S14,R5,1
1320219172436,W13,R5,1
1322220744662,S35,R5,1
1314212855807,W29,R6,1
1322221563024,S06,R2,1
1316215439365,W13,R5,1
1323222157442,S24,R6,1
1322221135445,S42,R2,1
1315214127161,W82,R4,1
1324222660514,S11,R1,1
1314212823506,W13,R2,1
1321220342517,S42,R6,1
1322221016189,S21,R6,1
1322220697991,S21,R6,1
1315214013652,W42,R2,1
1321220172098,S21,R6,1
1316215101864,W71,R4,1
1323221626676,S06,R6,1
1317216619421,W42,R6,1
1317216547240,W19,R6,1
1318216952705,W42,R5,1
1316215136247,W13,R6,1
1314211904697,W14,R5,1
1322220851707,S24,R6,1
1315214346619,W58,R2,1
1316215451915,W19,R6,1
1314212482970,W19,R5,1
1314212829232,W52,R1,1
1324222853576,S41,R6,1
1317215868086,W42,R4,1
1315213766379,W32,R4,1
1314212659748,W52,R5,1
1316215377538,W42,R2,1
1314212480230,W13,R6,1
1316215074257,W52,R6,1
1317216619445,W78,R5,1
1319218030738,W19,R5,1
1320219261144,W59,R3,1
1322221572959,S21,R2,1
1317215835909,W13,R6,1
1317215874165,W56,R1,1
1318216985770,W52,R6,1
1324222866978,S44,R5,1
1314211914320,W15,R4,1
1320218806596,W49,R6,1
1322221427077,S34,R6,1
1323221585526,S41,R6,1
1317216245148,W13,R6,1
1319218240291,W15,R5,1
1324222583243,S21,R6,1
1321220483147,S35,R6,1
1318217413145,W14,R5,1
1316215101876,W71,R5,1
1322220628693,S06,R2,1
1319218518583,W35,R5,1
1316215742812,W13,R5,1
1314212345351,W14,R5,1
1322221155183,S34,R6,1
1318217152444,W51,R3,1
1318216746521,W51,R3,1
1322220715736,S11,R3,1
1315214191912,W21,R6,1
1322220865291,S06,R2,1
1323221538743,S06,R6,1
1314212333557,W56,R5,1
1317215971351,W71,R6,1
1315213706005,W52,R6,1
1324222911051,S23,R6,1
1318216834628,W19,R5,1
1319217799826,W58,R3,1
1321219828579,S43,R6,1
1318218528230,W19,R6,1
1315218606921,W13,R6,1
1314212404242,W13,R4,1
1315214154332,W58,R6,1
1321219972460,S41,R6,1
1317219425206,W58,R6,1
1317216527477,W50,R6,1
1316215349806,W19,R1,1
1322221008889,S44,R6,1
1319217980743,W52,R5,1
1318217683414,W58,R5,1
1316215694833,W19,R6,1
1321219670229,S25,R1,1
1314212507115,W50,R5,1
1320219291907,W39,R5,1
1320219622053,W42,R2,1
1315215278730,W13,R6,1
1319217836321,W13,R6,1
1315213675109,W19,R2,1
1316215460650,W42,R6,1
1319218340495,W15,R4,1
1319217992130,W81,R2,1
1320218676601,W21,R6,1
1320218942631,W58,R2,1
1319218484032,W84,R4,1
1317215963962,W19,R4,1
1314216041552,W32,R6,1
1323221882006,S06,R3,1
1314212772863,W41,R4,1
1314212848941,W13,R2,1
1314212789150,W43,R2,1
1316215365558,W58,R4,1
1322221371394,S02,R6,1
1322220745145,S24,R5,1
1315213766381,W32,R4,1
1322220749485,S21,R4,1
1322220983908,S44,R2,1
1318217260088,W52,R6,1
1323222361242,S06,R2,1
1315214122436,W13,R4,1
1319218193288,W32,R6,1
1315214341149,W56,R4,1
1320218800201,W52,R5,1
1320219347566,W19,R6,1
1315213702739,W13,R6,1
1314212428003,W13,R6,1
1314212887057,W52,R6,1
1314212808784,W52,R5,1
1314212673836,W15,R2,1
1315214104972,W19,R6,1
1320219026794,W33,R6,1
1317216074120,W19,R6,1
1317216510774,W35,R5,1
1315214116600,W15,R4,1
1318217260494,W14,R5,1
1321220172086,S04,R6,1
1315213984166,W58,R6,1
1317216597866,W52,R4,1
1316215682030,W25,R6,1
1322220679310,S21,R6,1
1314212730422,W13,R6,1
1323221601863,S21,R6,1
1314212959884,W21,R2,1
1317215830365,W13,R6,1
1321219625187,S44,R6,1
1318217142138,W58,R5,1
1322220942977,S35,R6,1
1323221846746,S35,R5,1
1319218447225,W19,R4,1
1321220041952,S25,R6,1
1317215947856,W13,R5,1
1316215015367,W19,R2,1
1323221545066,S22,R5,1
1318216910428,W19,R6,1
1323221639622,S41,R6,1
1314213167962,W36,R5,1
1315214313619,W36,R6,1
1321220661577,S05,R6,1
1323221721487,S35,R5,1
1320218642712,W49,R6,1
1323222044036,S34,R6,1
1324222703542,S21,R6,1
1323221875483,S34,R2,1
1319218494692,W82,R5,1
1319217756612,W42,R4,1
1315213937675,W19,R6,1
1315214385433,W14,R5,1
1314212687457,W42,R6,1
1314212466217,W50,R4,1
1314212646653,W84,R2,1
1322221446406,S42,R6,1
1319218024255,W63,R5,1
1322221340779,S25,R6,1
1319217858075,W29,R3,1
1314212750160,W52,R2,1
1314213002114,W31,R6,1
1316215289339,W58,R6,1
1314211915210,W52,R6,1
1314212792636,W13,R5,1
1316215115852,W32,R5,1
1316215327329,W52,R6,1
1318217137470,W58,R5,1
1318217221617,W19,R6,1
1316215365901,W13,R6,1
1322221151424,S21,R5,1
1316215586532,W36,R6,1
1315213851886,W50,R6,1
1319218285435,W13,R5,1
1317216335164,W14,R5,1
1319217778024,W42,R4,1
1323221753270,S02,R1,1
1322220763332,S42,R6,1
1316215769694,W42,R6,1
1320218700262,W19,R5,1
1316215710029,W52,R6,1
1318217383328,W19,R6,1
1316215092089,W42,R2,1
1314212443206,W58,R5,1
1317216614622,W52,R5,1
1315213664461,W42,R3,1
1316215761305,W13,R5,1
1315214137869,W19,R5,1
1314212383994,W58,R5,1
1320219035793,W42,R6,1
1317216369037,W82,R6,1
1319217961592,W58,R2,1
1324222684348,S03,R2,1
1315213666124,W13,R6,1
1319217791298,W52,R6,1
1315213700750,W82,R6,1
1322221155120,S34,R6,1
1316215091048,W49,R5,1
1316215744398,W13,R6,1
1324222917130,S23,R5,1
1319217660669,W31,R4,1
1322220830780,S21,R4,1
1323221983190,S44,R5,1
1317215988054,W13,R6,1
1318216903676,W14,R5,1
1315213721273,W13,R6,1
1318217425887,W58,R4,1
1319218388231,W81,R6,1
1322220793804,S02,R6,1
1314212516734,W58,R2,1
1315214006429,W52,R5,1
1314212353573,W52,R5,1
1316215176379,W83,R5,1
1316215357753,W19,R4,1
1317216293858,W22,R4,1
1319218269761,W58,R2,1
1315214272748,W19,R6,1
1314211923519,W81,R3,1
1314212778880,W42,R2,1
1314212695338,W14,R5,1
1315214051575,W58,R6,1
1315214404509,W24,R5,1
1314212587505,W52,R6,1
1319218075721,W19,R5,1
1321220078214,S35,R3,1
1322220843155,S41,R6,1
1315213781661,W58,R5,1
1324222530901,S21,R2,1
1322221504677,S21,R5,1
1323222174981,S44,R6,1
1315218623320,W13,R5,1
1318216750859,W19,R4,1
1323221817911,S11,R1,1
1314212384491,W14,R6,1
1316217712518,W32,R6,1
1314217595899,W35,R5,1
1320218954840,W14,R4,1
1314212878894,W13,R6,1
1322221461433,S41,R6,1
1322220763320,S42,R6,1
1314212319990,W74,R6,1
1322221144203,S44,R2,1
1324222474001,S23,R3,1
1322220961080,S21,R6,1
1314212849273,W42,R4,1
1319217827498,W65,R6,1
1315213919893,W15,R6,1
1321219644251,S11,R5,1
1323222255578,S03,R4,1
1314213100668,W53,R4,1
1323222166959,S21,R6,1
1323222387514,S43,R6,1
1314212655462,W50,R6,1
1316215519671,W42,R2,1
1314212975890,W74,R6,1
1320219212634,W42,R3,1
1324223191851,S24,R6,1
1322220712184,S34,R6,1
1314212489049,W36,R6,1
1314212400218,W52,R6,1
1317216010304,W51,R5,1
1320219050933,W52,R5,1
1319218032629,W49,R6,1
1320218845802,W42,R5,1
1323221784186,S23,R3,1
1317216342117,W14,R6,1
1316215711300,W13,R6,1
1318219407018,W13,R6,1
1314212632119,W36,R4,1
1319218416170,W39,R6,1
1316214979205,W39,R6,1
1322221243734,S06,R5,1
1322221008877,S44,R6,1
1319218020663,W82,R3,1
1320219461908,W29,R3,1
1316215788656,W68,R6,1
1316215342799,W74,R6,1
1318217276738,W42,R2,1
1314212540684,W33,R6,1
1314212385052,W42,R5,1
1322221308380,S44,R6,1
1323221937636,S41,R6,1
1322220780290,S35,R4,1
1320218595003,W14,R6,1
1319218133609,W58,R5,1
1317216053847,W19,R4,1
1316215040534,W49,R6,1
1316215193564,W52,R5,1
1320219349091,W52,R6,1
1315213679576,W58,R6,1
1314212743619,W52,R5,1
1322220876092,S44,R6,1
1319217997410,W82,R6,1
1322220733529,S14,R6,1
1320218879361,W52,R6,1
1320219333768,W42,R6,1
1316217672310,W19,R6,1
1318216798025,W82,R3,1
1321219754254,S03,R1,1
1317215971375,W13,R6,1
1316215133810,W29,R6,1
1316215128733,W24,R6,1
1316215697879,W13,R6,1
1315213722554,W14,R6,1
1315214264830,W14,R4,1
1320218684696,W14,R6,1
1322221223136,S44,R6,1
1314212478212,W42,R6,1
1316215446182,W13,R6,1
1315214387464,W42,R1,1
1317216081051,W42,R1,1
1318216942716,W19,R6,1
1318217381173,W56,R2,1
1323221886411,S35,R5,1
1324222565309,S23,R4,1
1314213072857,W42,R3,1
1319218526224,W78,R5,1
1319217838162,W82,R5,1
1321222393047,S21,R6,1
1314212774487,W42,R4,1
1322220751883,S05,R5,1
1317217644715,W78,R2,1
1322221467513,S42,R5,1
1323222309332,S24,R6,1
1316215364581,W19,R6,1
1316215656758,W74,R6,1
1317216321657,W13,R6,1
1322220937534,S41,R5,1
1321219616493,S06,R5,1
1318221471939,W39,R6,1
1321219785161,S41,R6,1
1319218071292,W81,R2,1
1315214231805,W13,R4,1
1317216306656,W19,R4,1
1324222439630,S35,R6,1
1322220951279,S06,R3,1
1321220489809,S05,R6,1
1320218684684,W14,R6,1
1319217803182,W39,R2,1
1317216289532,W42,R5,1
1315216643294,W35,R6,1
1322220741906,S21,R6,1
1314211953474,W58,R6,1
1315213944782,W13,R6,1
1315213585387,W52,R5,1
1316215181013,W71,R4,1
1322220785467,S11,R6,1
1324222765442,S21,R6,1
1320219278126,W14,R6,1
1320218604751,W41,R1,1
1321220089763,S24,R6,1
1320218576825,W58,R6,1
1316215364605,W50,R6,1
1317216563751,W19,R5,1
1321220401929,S03,R5,1
1315214356697,W51,R2,1
1316215538962,W58,R6,1
1322220786368,S41,R6,1
1319217870056,W58,R1,1
1323223236858,S21,R5,1
1315214245870,W39,R6,1
1315214272751,W19,R5,1
1322221078215,S11,R2,1
1318217448745,W58,R5,1
1315213984127,W42,R6,1
1323221978911,S06,R6,1
1323222023982,S41,R6,1
1320218661130,W42,R6,1
1318217012689,W52,R5,1
1314213237605,W13,R6,1
1322221016114,S21,R5,1
1316215059231,W19,R6,1
1322221445758,S35,R6,1
1318216894980,W58,R5,1
1321219757806,S21,R6,1
1320218595054,W58,R6,1
1323221539962,S41,R6,1
1315213945658,W25,R6,1
1315213980651,W50,R5,1
1314212782849,W50,R6,1
1315214189856,W68,R5,1
1323221625369,S21,R5,1
1321220163632,S03,R3,1
1322220824914,S34,R1,1
1319217721214,W58,R3,1
1322221465685,S23,R2,1
1324222521977,S31,R5,1
1323221638289,S21,R4,1
1318217260482,W24,R5,1
1318216863199,W42,R2,1
1317216315061,W52,R2,1
1318216983522,W19,R6,1
1321220376154,S44,R6,1
1321220391546,S21,R6,1
1322220832303,S41,R6,1
1322221311311,S21,R6,1
1322220693269,S06,R4,1
1320218733069,W55,R6,1
1320218717407,W51,R6,1
1320219337312,W13,R6,1
1322221498431,S31,R6,1
1314213125964,W39,R6,1
1321219602099,S24,R6,1
1317216406975,W52,R5,1
1322220817124,S22,R5,1
1324223007372,S23,R5,1
1315213962400,W50,R6,1
1319218273454,W52,R6,1
1316215411190,W72,R4,1
1314212557565,W50,R2,1
1323221585716,S21,R6,1
1321219676499,S14,R6,1
1316215076302,W14,R5,1
1320218747044,W49,R3,1
1322220969416,S24,R6,1
1324223208202,S25,R2,1
1322220660106,S23,R5,1
1324222533919,S44,R2,1
1323222258865,S34,R6,1
1314212322402,W13,R6,1
1316215067909,W89,R6,1
1321219447048,S21,R2,1
1322220835870,S21,R6,1
1320219383142,W68,R2,1
1314212950265,W49,R6,1
1319217928187,W58,R6,1
1318216726923,W52,R2,1
1320218950739,W19,R3,1
1321219774445,S06,R1,1
1324222737544,S21,R5,1
1321219871213,S21,R6,1
1322221380393,S21,R6,1
1315213588306,W50,R4,1
1321219677046,S43,R4,1
1324222418218,S35,R5,1
1320218700274,W54,R4,1
1324222868109,S44,R5,1
1322220915072,S44,R4,1
1315213937840,W13,R5,1
1316215075856,W42,R6,1
1315213968353,W82,R2,1
1314212343471,W29,R5,1
1314212345324,W14,R5,1
1316215058280,W84,R3,1
1317216009199,W49,R6,1
1314213189311,W89,R5,1
1322221316654,S35,R6,1
1324222590388,S21,R6,1
1314212878906,W13,R6,1
1317215884560,W82,R6,1
1319217938947,W19,R3,1
1314212402263,W58,R6,1
1315213235536,W50,R2,1
1316215059229,W19,R5,1
1316215619178,W32,R6,1
1314213001860,W36,R2,1
1315213715624,W68,R6,1
1320219197340,W50,R6,1
1319219407069,W29,R5,1
1320218885539,W89,R3,1
1316215192725,W14,R5,1
1319217666635,W29,R6,1
1319218508517,W68,R4,1
1318216766360,W29,R5,1
1317215913498,W19,R3,1
1314212748279,W71,R5,1
1317216569311,W19,R4,1
1315214331276,W13,R6,1
1322220764512,S03,R2,1
1323221765377,S35,R5,1
1323221769983,S04,R3,1
1316215674882,W39,R6,1
1321220353496,S21,R6,1
1321220443220,S24,R6,1
1320219380565,W89,R6,1
1315218633889,W42,R2,1
1315214412292,W36,R3,1
1314212985182,W58,R5,1
1321219721558,S02,R3,1
1321219845979,S23,R6,1
1319217978016,W84,R6,1
1320219256512,W19,R6,1
1322221534290,S11,R6,1
1320218966568,W82,R2,1
1318217228156,W58,R2,1
1317216385435,W19,R6,1
1317216222226,W41,R5,1
1318217299419,W19,R6,1
1315213965852,W21,R3,1
1321220147110,S03,R5,1
1315213669512,W19,R5,1
1315213791231,W49,R5,1
1321220027268,S21,R6,1
1322220732465,S21,R6,1
1322220762823,S04,R6,1
1317216044709,W13,R3,1
1320218934798,W89,R5,1
1319217778341,W58,R4,1
1322220700126,S03,R6,1
1323221672025,S24,R5,1
1316215682434,W13,R5,1
1314211886991,W61,R6,1
1316214969495,W68,R6,1
1321219743554,S35,R5,1
1324222406567,S06,R2,1
1319221498241,W71,R1,1
1317216138685,W52,R6,1
1317216332902,W13,R5,1
1319218198137,W19,R6,1
1316215271166,W13,R6,1
1315213578216,W82,R6,1
1321219851247,S33,R6,1
1321220472361,S21,R6,1
1320219368281,W42,R6,1
1315214424968,W42,R2,1
1315213219571,W21,R6,1
1317218574251,W50,R6,1
1319218322699,W43,R1,1
1324223006091,S24,R5,1
1315213697511,W14,R5,1
1318217149172,W51,R6,1
1314212428433,W29,R6,1
1323222012864,S14,R2,1
1321219702370,S41,R6,1
1314212495980,W42,R3,1
1314212682569,W52,R6,1
1315214215257,W50,R5,1
1318217058674,W56,R6,1
1320218576585,W82,R5,1
1316215673144,W84,R5,1
1314213199110,W22,R5,1
1322221209695,S05,R5,1
1317216437350,W52,R6,1
1314212985663,W42,R6,1
1315213804750,W13,R5,1
1323222139949,S21,R6,1
1322221212905,S06,R6,1
1320219325103,W13,R5,1
1324222883757,S23,R2,1
1317216330860,W58,R6,1
1321220122168,S06,R6,1
1318216762447,W50,R3,1
1321220420107,S23,R2,1
1314212588572,W56,R5,1
1314213104829,W29,R6,1
1315213984204,W58,R6,1
1323222174322,S44,R6,1
1321220175677,S11,R3,1
1323221606763,S03,R2,1
1319218157396,W50,R6,1
1318217135678,W58,R6,1
1316218617025,W52,R2,1
1322220997148,S41,R6,1
1314212881686,W39,R6,1
1324222585440,S22,R3,1
1324222676468,S06,R6,1
1316215217100,W52,R4,1
1315213681962,W13,R6,1
1314213104387,W71,R3,1
1317215803863,W82,R1,1
1317216622860,W13,R2,1
1319217610361,W39,R4,1
1322221433257,S44,R5,1
1323221950936,S12,R5,1
1316215438514,W39,R6,1
1314214496566,W51,R3,1
1316215773995,W13,R6,1
1316215606664,W52,R5,1
1317216010948,W13,R5,1
1324223180718,S14,R6,1
1319218193656,W59,R6,1
1315213572074,W33,R5,1
1321220659510,S24,R5,1
1319217680065,W75,R6,1
1319217801620,W49,R2,1
1322220768523,S11,R6,1
1315214043515,W52,R5,1
1315213685720,W58,R6,1
1324222554747,S06,R6,1
1321220586604,S42,R6,1
1314212378386,W24,R3,1
1322221169663,S44,R6,1
1323222188637,S24,R3,1
1315213992237,W52,R5,1
1321219916614,S11,R6,1
1314212377636,W13,R6,1
1318217419290,W61,R5,1
1314211917719,W31,R4,1
1324222592836,S21,R6,1
1323221648126,S35,R6,1
1315214155588,W13,R6,1
1320218758872,W58,R5,1
1318217455272,W19,R6,1
1314212816678,W53,R2,1
1320219157397,W42,R2,1
1316214986010,W13,R6,1
1314213004118,W19,R6,1
1319218397848,W19,R2,1
1322220783955,S04,R2,1
1314212428015,W13,R6,1
1316215093194,W68,R2,1
1316215682055,W21,R6,1
1315214235412,W58,R5,1
1317215885880,W49,R5,1
1319218504215,W13,R5,1
1320219201757,W42,R2,1
1318216981757,W89,R2,1
1317216437451,W50,R6,1
1323222015873,S25,R6,1
1322221498468,S31,R6,1
1316215029291,W15,R5,1
1316215300512,W19,R6,1
1318217042579,W13,R5,1
1315214215600,W19,R6,1
1317216592788,W19,R6,1
1321219828480,S13,R6,1
1315213572922,W31,R4,1
1315214451700,W58,R6,1
1321219624071,S11,R6,1
1314212944211,W53,R6,1
1315213829409,W89,R3,1
1322221294085,S21,R5,1
1316215365913,W13,R6,1
1316215469952,W42,R3,1
1324222911036,S23,R6,1
1314212692584,W50,R2,1
1324222737189,S04,R3,1
1322221371141,S02,R6,1
1317216283061,W32,R5,1
1323222257560,S21,R6,1
1324222482681,S44,R6,1
1322220938575,S03,R6,1
1317216571873,W83,R5,1
1324222542161,S21,R5,1
1314212522270,W89,R6,1
1322220640940,S03,R5,1
1323221706385,S25,R2,1
1322221267964,S35,R6,1
1317216280406,W82,R5,1
1319218495315,W81,R6,1
1321219931591,S41,R6,1
1316215072721,W52,R6,1
1315214393326,W51,R5,1
1324222667065,S21,R6,1
1315214039354,W13,R5,1
1320218979716,W13,R5,1
1315213704063,W42,R3,1
1322221300445,S25,R3,1
1321219595410,S44,R6,1
1320219400417,W52,R6,1
1321220657050,S35,R3,1
1320218713461,W19,R6,1
1315213971498,W29,R5,1
1314212335929,W58,R5,1
1316215493178,W29,R6,1
