doc_ctrl_num,tri_facility_id,cas_registry_number,reporting_year,max_amount_code,produce,imported,sale_distribution,byproduct,process_impurity,industry_code
1315213803517,27604MLLNC8801N,62-53-3,2015,05,1,0,1,1,0,325
1314212560294,81001SHLND250WI,7664-41-7,2014,06,1,0,1,0,0,325
1316215044090,60007PNRYC1801E,N230,2016,04,0,0,0,0,0,325
1317215906948,72209TRNRC691IN,7697-37-2,2017,03,0,0,0,0,0,311
1316215087584,94086SRRPR1108W,N100,2016,04,1,0,0,1,0,334
1317216592752,15145STLDN200BR,7439-92-1,2017,05,0,0,0,0,0,332
1318216727723,06076CNNCXRIVER,108-95-2,2018,02,0,0,0,0,1,333
1324222509806,4968WGRNDT1677P,7440-50-8,2024,05,0,0,0,0,0,336
1315214215283,50616SLSBR1900R,68-12-2,2015,05,0,0,0,0,0,325
1320219064348,49093DYNTR111DA,108-88-3,2020,04,0,0,0,0,0,326
1318217181433,77017MBLCH9822L,115-07-1,2018,09,1,0,1,0,1,325
1316215087519,30103LGCHM31LGD,80-62-6,2016,05,0,0,0,0,0,325
1315214330538,27403MRFLX2110H,108-93-0,2015,04,0,0,0,0,0,325
1315214028336,37644SNPNTSTATE,7439-96-5,2015,05,0,0,0,0,0,332
1323221978606,3380WSLDST281SA,N230,2023,03,0,0,0,0,0,325
1318216846105,1755WGRNRN165ST,108-88-3,2018,04,0,0,0,0,0,332
1317216200079,32078GRGPCSTATE,67-56-1,2017,05,1,0,0,1,0,322
1320219090370,02905MNRCH189GE,7440-02-0,2020,03,0,0,0,0,0,332
1315214050155,29636RYMTLBOX38,N982,2015,03,1,0,0,0,0,332
1324222876524,0292WPXSTC21STA,7429-90-5,2024,04,0,0,0,0,0,325
1322221260526,72902KFDSNREEDL,7782-50-5,2022,03,0,0,0,0,0,311
1315214191900,44024LSTCH160PA,137-26-8,2015,03,0,1,1,0,0,326
1319218389777,48043DPNTM400GR,95-63-6,2019,04,0,1,1,0,0,325
1315214240374,14304THGDY5408B,123-31-9,2015,06,0,0,0,0,0,325
1316215007295,48150MBSTN31770,N511,2016,04,1,0,0,1,0,311
1314213013461,34294PRDYN8550U,7439-92-1,2014,03,1,0,0,1,0,334
1317216614596,90280TCHNC11220,7440-50-8,2017,05,0,0,0,0,0,331
1318216983433,16749QKRSTINTER,7664-41-7,2018,04,1,0,0,1,0,324
1322221434741,1630WWBCND363SE,7440-50-8,2022,04,0,0,0,0,0,331
1314212637920,53929WLKRS902SE,7440-47-3,2014,04,0,0,0,0,0,332
1317215976768,17331SKFBRRD3BO,7440-47-3,2017,04,0,0,0,0,0,332
1316215116625,75050SRGRD23501,108-10-1,2016,04,0,0,0,0,0,325
1322220875138,0183WJHNSN3BNDS,N458,2022,02,0,1,1,0,0,4246
1324222645691,53119GNRCP211MU,7439-96-5,2024,04,0,0,0,0,0,335
1320220657480,3762WTRCTY161AR,N090,2020,02,0,0,0,0,1,331
1316215374036,91504CRNCM3000W,7439-92-1,2016,02,0,0,0,0,0,332
1314211929827,27533PVNRT1200A,7440-47-3,2014,04,0,0,0,0,0,333
1318216679276,06001RFLXT120DA,108-88-3,2018,03,0,0,0,0,0,323
1317216052682,63070DWCHMDOWIN,N270,2017,04,0,0,0,0,0,326
1315213688157,77805LNCXX615CA,95-63-6,2015,03,0,0,0,0,0,332
1315213702754,02780VSTNT585JH,7439-92-1,2015,04,0,0,0,0,1,332
1321219997715,9213WTLDYN9855C,N420,2021,02,0,0,0,0,0,335
1320218865867,50595VNDSTOLDHW,71-36-3,2020,04,0,0,0,0,0,325
1314212604868,33810KYMRK2540K,N230,2014,03,0,0,0,0,0,331
1314212748329,36105HYNDM7HYUN,7632-00-0,2014,04,0,0,0,0,0,336
1324222714457,4817WWBSTR142NB,107-21-1,2024,04,0,0,0,0,0,336
1316215544925,50616SLSBR1900R,7664-41-7,2016,04,1,0,0,1,0,325
1324222893190,28086CMMRC101CA,N982,2024,03,0,0,0,0,0,333
1315213766405,73036GMNLC101SW,1330-20-7,2015,05,0,0,0,0,0,325
1314212558934,30125HNKLC701WI,7664-41-7,2014,04,0,0,0,0,0,325
1316215592926,27292PPGNDNEWJE,7439-92-1,2016,02,1,0,0,0,1,327
1315214394494,44460WRRNM800PE,100-41-4,2015,03,0,0,0,0,0,326
1324222480675,01260MDSPCWILLO,50-00-0,2024,03,1,0,0,1,0,322
1319218027290,49221NXTDS1571W,67-56-1,2019,05,0,0,0,0,0,325
1315213207487,46176RYBDC800MA,7440-50-8,2015,02,0,0,0,0,0,331
1314213002936,70734RBCNN9156H,98-95-3,2014,06,1,0,1,0,0,325
1324222559799,37644SNPNTSTATE,7440-50-8,2024,03,0,0,0,0,1,332
1324222998460,31408NTRCT115EL,7664-41-7,2024,04,1,0,0,0,0,325
1324222898013,0850WLLNTW165CU,7440-47-3,2024,03,0,0,0,0,0,332
